depreg,mupreg,mesreg,añoreg,diaocu,mesocu,añoocu,depocu,mupocu,edadhom,edadmuj,grethom,gretmuj,nachom,nacmuj,escohom,escomuj,ocupahom,ocupamuj
4,0401,6,2011,24,5,2011,4,0401,999,999,9,9,124,320,9,9,9999,9999
10,1001,11,2011,10,10,2011,10,1001,999,999,9,9,156,320,9,9,9998,2341
6,0611,1,2012,12,9,2011,6,0601,56,20,2,2,156,320,4,2,5221,9999
1,0101,9,2011,24,8,2011,1,0101,50,52,2,2,170,320,5,5,5221,1411
1,0101,10,2011,8,9,2011,1,0101,999,999,9,9,170,320,9,9,9712,9712
1,0101,7,2011,25,4,2011,1,0101,999,999,9,9,170,320,9,9,2431,9712
1,0101,4,2011,7,3,2011,1,0101,999,999,9,9,188,320,1,1,9999,9999
1,0101,10,2011,4,7,2011,1,0108,31,25,9,9,188,320,1,1,5249,9712
1,0101,9,2011,7,7,2011,1,0101,39,31,9,9,188,320,1,1,9712,9712
1,0106,2,2012,29,8,2011,1,0101,999,54,9,2,192,320,9,1,9999,9711
1,0101,11,2011,5,10,2011,1,0101,999,999,9,9,192,320,9,9,2411,9712
1,0101,8,2011,20,7,2011,1,0101,48,45,2,2,192,320,9,9,9712,9712
13,1327,4,2011,14,3,2011,13,1327,41,34,9,9,192,320,1,4,2211,9712
19,1901,10,2011,18,8,2011,19,1901,39,29,2,2,192,320,5,9,2211,9712
1,0101,11,2011,16,8,2011,1,0101,31,36,9,9,192,320,1,1,5221,2431
9,0901,12,2011,28,11,2011,9,0901,999,999,9,9,192,320,9,9,9999,9999
1,0101,11,2011,18,8,2011,10,1001,999,999,9,9,192,320,1,9,9999,9999
15,1501,3,2011,1,2,2011,15,1501,999,29,9,2,192,320,1,4,9712,3314
1,0101,5,2011,24,3,2011,1,0101,999,45,9,9,222,320,9,9,9999,9999
1,0101,4,2011,10,3,2011,1,0101,999,41,9,9,222,320,9,1,6111,9711
1,0101,12,2011,21,10,2011,1,0101,999,999,9,9,222,320,9,9,9712,9712
1,0101,10,2011,24,5,2011,1,0101,34,34,9,9,222,320,1,1,9712,9712
1,0115,11,2011,21,9,2011,1,0115,27,27,9,9,222,320,1,1,9712,9712
1,0101,8,2011,14,7,2011,1,0101,24,23,2,2,222,320,9,4,9712,9712
1,0101,11,2011,10,10,2011,1,0101,999,999,9,9,222,320,9,9,7126,9712
1,0101,3,2011,15,2,2011,1,0101,999,999,9,9,222,320,9,9,9999,9999
9,0905,11,2011,7,6,2011,9,0905,999,999,9,9,222,320,9,9,9999,9999
1,0101,9,2011,10,8,2011,1,0101,999,999,9,9,222,320,9,9,9712,4120
1,0101,1,2012,8,11,2011,1,0101,999,999,9,9,276,320,9,9,9999,9999
3,0301,12,2011,28,9,2011,1,0108,999,999,9,9,276,320,9,9,9999,9999
12,1215,2,2012,4,7,2011,12,1215,999,999,9,9,320,320,1,9,2341,9999
16,1601,5,2011,21,2,2011,16,1601,30,33,2,9,320,320,5,9,2642,9999
1,0101,1,2012,12,12,2011,1,0101,999,52,9,9,320,320,9,9,3119,9999
11,1101,8,2011,24,6,2011,11,1101,34,999,2,9,320,320,3,9,3434,9999
3,0301,3,2011,25,1,2011,3,0301,35,30,1,9,320,320,4,9,3513,9999
15,1503,1,2012,26,7,2011,15,1501,30,27,1,9,320,320,4,9,3513,9999
1,0114,9,2011,15,6,2011,1,0114,40,32,2,9,320,320,4,9,4211,9999
6,0608,4,2011,9,3,2011,6,0601,38,999,2,9,320,320,2,9,4214,9999
6,0608,4,2011,21,3,2011,6,0601,38,999,2,9,320,320,2,9,4214,9999
1,0107,9,2011,23,8,2011,1,0114,20,17,1,9,320,320,3,9,4229,9999
1,0101,4,2011,8,2,2011,1,0101,25,999,2,9,320,320,4,9,4311,9999
1,0101,3,2012,12,9,2011,1,0101,999,999,9,9,320,320,9,9,5221,9999
1,0116,8,2011,8,7,2011,1,0101,999,45,9,9,320,320,9,9,5221,9999
1,0117,5,2011,20,1,2011,1,0101,38,34,2,9,320,320,2,9,5221,9999
15,1504,3,2011,8,2,2011,15,1504,49,43,2,9,320,320,4,9,5221,9999
1,0101,10,2011,28,3,2011,1,0108,38,37,2,9,320,320,4,9,5221,9999
22,2202,4,2011,28,2,2011,22,2202,22,22,2,9,320,320,9,9,5221,9999
1,0101,9,2011,1,9,2011,1,0101,999,38,9,9,320,320,9,9,5249,9999
5,0511,9,2011,2,9,2011,5,0501,29,29,2,9,320,320,2,9,5412,9999
19,1910,2,2012,2,12,2011,1,0101,999,999,9,9,320,320,9,9,6111,9999
22,2204,11,2011,13,10,2011,22,2204,999,999,9,9,320,320,9,9,6111,9999
16,1602,8,2011,19,5,2011,16,1601,999,34,9,9,320,320,9,9,6111,9999
22,2204,3,2011,19,1,2011,22,2204,999,23,9,9,320,320,9,9,6111,9999
15,1504,3,2012,27,12,2011,15,1501,65,999,1,9,320,320,1,9,6111,9999
15,1503,5,2012,25,10,2011,15,1501,60,999,1,9,320,320,1,9,6111,9999
22,2202,6,2011,29,4,2011,22,2202,48,999,2,9,320,320,1,9,6111,9999
9,0905,2,2012,29,9,2011,9,0905,50,46,2,9,320,320,1,9,6111,9999
12,1215,7,2011,7,2,2011,12,1215,50,999,2,9,320,320,2,9,6111,9999
5,0509,5,2011,28,2,2011,5,0501,27,999,2,9,320,320,2,9,6111,9999
12,1222,11,2011,12,10,2011,12,1222,20,18,9,9,320,320,9,9,6111,9999
1,0115,2,2012,27,10,2011,1,0101,999,999,9,9,320,320,9,1,6111,9999
1,0114,4,2011,21,2,2011,1,0114,45,42,2,9,320,320,2,1,6111,9999
12,1219,5,2011,27,4,2011,12,1215,46,39,2,9,320,320,2,1,6111,9999
12,1219,9,2011,10,6,2011,12,1215,28,31,2,2,320,320,2,2,6111,9999
5,0513,8,2011,18,5,2011,1,0101,999,999,2,2,320,320,2,9,6111,9999
19,1901,6,2011,12,4,2011,19,1901,41,999,2,9,320,320,1,9,7112,9999
1,0117,2,2012,25,5,2011,1,0101,51,50,2,9,320,320,2,9,7112,9999
1,0117,6,2011,25,5,2011,1,0101,51,50,2,9,320,320,2,9,7112,9999
1,0115,8,2011,4,5,2011,1,0115,58,48,2,9,320,320,9,9,7112,9999
16,1602,4,2011,24,3,2011,16,1601,30,23,9,9,320,320,2,9,7115,9999
6,0601,1,2012,8,12,2011,6,0601,29,999,2,9,320,320,3,9,7411,9999
6,0602,1,2012,8,8,2011,6,0601,27,24,1,2,320,320,4,9,7411,9999
6,0602,6,2012,8,8,2011,6,0602,27,24,1,2,320,320,4,9,7411,9999
1,0101,7,2011,27,6,2011,1,0101,999,46,9,9,320,320,9,9,9712,9999
18,1801,9,2011,19,7,2011,18,1801,999,42,9,9,320,320,9,9,9712,9999
1,0101,7,2011,24,6,2011,1,0101,999,40,9,9,320,320,9,9,9712,9999
18,1801,5,2011,28,4,2011,18,1801,999,38,9,9,320,320,9,9,9712,9999
1,0101,10,2011,31,8,2011,1,0101,999,28,9,9,320,320,9,9,9712,9999
16,1602,12,2011,25,10,2011,16,1601,999,20,9,9,320,320,9,9,9712,9999
22,2203,4,2012,8,8,2011,22,2201,999,999,9,9,320,320,1,9,9712,9999
18,1801,1,2012,28,11,2011,18,1801,35,26,9,9,320,320,1,9,9712,9999
22,2201,9,2011,23,8,2011,22,2201,25,22,9,9,320,320,1,9,9712,9999
