ANO_EMISION,MES_EMISION,DIA_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_AREA,HEC_TIPAGRE,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GRUPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,INST_DENUN_HECHO,MEDIDAS_SEGURIDAD,LEY_APLICABLE
2011,1,7,101,1,2,19,0,0,0,1,46,1,9,1,2, ,3,2, ,3,99,99,99,99,99,6,1,2010,110,1,2122,2, ,1,22,1,45,1,1,1,1,4211, ,4,1,3
2011,1,4,101,1,2,32,2,1,1,1,26,1,1,1,2, ,1,2, ,2,99,99,99,99,99,3,1,2011,101,1,2122,2, ,1,33,1,45,1,1,1,1,5220, ,4,1,1
2011,1,4,101,1,2,25,1,0,1,1,46,2,1,1,1,4211, ,2, ,1,99,99,99,99,99,2,1,2011,101,1,2122,2, ,1,28,1,46,2,1,9,1,1314, ,4,1,1
2011,1,4,101,1,2,38,3,2,1,1,32,2,1,1,1,5220, ,2, ,1,99,99,99,99,99,4,1,2011,101,1,1122,2, ,1,41,1,44,2,1,1,1,8263, ,4,1,1
2011,1,4,101,1,2,43,1,1,0,1,45,3,1,1,1,9112, ,2, ,3,99,99,99,99,99,31,12,2010,113,9,2122,2, ,1,35,1,23,2,1,1,1,8223, ,4,1,1
2011,1,4,101,1,2,30,99,99,99,1,46,2,1,1,2, ,1,2, ,1,99,99,99,99,99,13,11,2010,101,1,2122,2, ,1,26,1,46,2,1,9,1,5123, ,4,1,1
2011,1,5,101,1,2,44,4,2,2,1,26,1,1,1,1,5141, ,2, ,3,99,99,99,99,99,4,1,2011,101,1,2122,2, ,1,52,1,45,1,1,1,1,1314, ,4,1,1
2011,1,5,101,1,2,34,2,2,0,2,10,1,1,1,1,9131, ,2, ,3,99,99,99,99,99,3,1,2011,101,1,2122,2, ,1,40,1,22,1,1,1,2, ,9,4,1,1
2011,1,5,101,1,2,56,1,1,0,1,46,2,1,1,2, ,2,2, ,1,99,99,99,99,99,3,1,2011,108,1,2122,2, ,1,59,1,46,2,1,1,1,3310, ,4,1,1
2011,1,5,101,1,2,23,1,0,1,1,46,1,1,1,1,1314, ,2, ,3,99,99,99,99,99,23,12,2010,101,1,2122,2, ,1,25,1,46,1,1,1,1,1314, ,4,1,1
2011,1,5,101,1,1,41,3,2,1,1,26,2,1,1,1,9151, ,9, ,1,99,99,99,99,99,31,12,2010,101,9,2122,2, ,2,36,1,46,2,1,1,1,3310, ,4,1,1
2011,1,24,101,1,2,38,3,1,2,1,29,2,1,1,1,9131, ,2, ,1,3,0,0,3,0,23,1,2011,101,1,1122,2, ,1,41,1,49,2,1,1,1,7231, ,6, , 
2011,1,26,101,1,2,28,2,2,0,1,59,1,6,1,1,9999, ,2, ,2,99,99,99,99,99,25,1,2011,101,1,2122,2, ,1,35,1,59,1,6,2,1,2411, ,6, , 
2011,1,10,101,1,2,24,0,0,0,2,10,3,1,1,2, ,1,2, ,2,99,99,99,99,99,10,1,2011,101,1,1112,2, ,1,56,1,10,3,1,1,1,8324, ,3, , 
2011,1,17,101,1,2,26,1,0,1,1,59,2,1,1,2, ,3,9, ,1,0,0,0,0,0,16,1,2010,101,1,1122,2, ,1,25,1,49,2,1,1,1,4211, ,3, , 
2011,1,29,101,1,2,35,2,0,2,1,49,3,1,1,1,3121, ,9, ,2,0,0,0,0,0,29,1,2011,101,1,1122,1,2,1,31,1,10,4,5,2,9, , ,3, , 
2011,1,29,101,1,2,31,0,0,0,1,49,3,1,1,1,4115, ,2, ,2,0,0,0,0,0,29,1,2011,101,9,1122,9, ,1,39,1,59,3,1,1,1,110, ,3, , 
2011,1,17,101,1,2,20,99,99,99,2,10,2,1,1,1,9112, ,2, ,1,99,99,99,99,99,15,1,2010,101,1,1222,1,9,1,23,1,39,2,1,9,1,8263, ,3, , 
2011,1,8,101,1,1,56,0,0,0,1,26,2,9,1,1,7124, ,2, ,1,99,99,99,99,99,8,1,2011,101,1,1122,9, ,2,99,1,25,2,1,1,2, ,1,3, , 
2011,1,19,101,1,2,29,1,0,1,1,31,3,1,9,2, ,1,2, ,2,1,0,0,0,1,19,1,2011,101,9,1122,2, ,1,31,1,26,3,1,9,9, , ,3, , 
2011,1,20,101,1,2,23,2,1,1,1,23,3,1,9,1,5220, ,2, ,2,2,0,1,1,0,20,1,2011,101,1,1222,1,9,1,99,1,26,2,1,1,1,5162, ,3, , 
2011,1,26,101,1,1,34,99,99,99,1,26,2,1,1,1,5220, ,2, ,1,99,99,99,99,99,26,1,2011,101,1,2122,2, ,2,34,1,26,2,1,1,2, ,1,3, , 
2011,1,12,101,1,2,36,99,99,99,1,29,1,1,1,2, ,1,2, ,3,99,99,99,99,99,8,1,2010,102,2,2122,2, ,1,49,1,29,1,1,1,2, ,9,3, , 
2011,1,7,101,1,2,25,1,0,1,1,46,1,1,1,2, ,1,2, ,10,1,0,0,0,1,7,1,2011,115,1,1121,2, ,2,99,1,99,9,1,1,2, ,1,3, , 
2011,1,11,101,1,2,27,4,3,1,1,99,3,1,1,9, , ,2, ,2,4,0,0,3,1,10,1,2011,101,1,1122,1,1,1,27,1,99,3,1,1,9, , ,3, , 
2011,1,18,101,1,2,38,99,99,99,1,49,1,1,1,1,5141, ,2, ,2,99,99,99,99,99,18,1,2011,101,1,1122,9, ,1,33,1,49,1,1,1,1,5220, ,3, , 
2011,1,19,101,1,2,17,1,1,0,1,25,2,1,1,2, ,1,2, ,1,1,0,0,1,0,19,1,2010,108,1,1121,2, ,1,26,1,26,2,1,1,1,7124, ,3, , 
2011,1,22,101,1,2,28,2,1,1,1,33,2,1,1,1,5220, ,2, ,1,2,0,0,1,1,22,1,2011,101,1,1121,1,1,1,30,1,33,2,1,1,1,8263, ,3, , 
2011,1,14,101,1,1,43,0,0,0,1,33,2,1,1,1,9112, ,2, ,1,0,0,0,0,0,13,1,2011,101,1,1122,2, ,2,35,1,44,2,1,1,1,9999, ,4,1,1
2011,1,21,101,1,2,23,99,99,99,1,44,1,1,1,1,9131, ,2, ,2,2,0,0,2,0,20,1,2011,101,1,1122,9, ,1,32,1,33,3,1,1,1,9999, ,4,1,1
2011,1,19,101,1,2,37,99,99,99,1,44,2,1,9,2, ,1,2, ,1,0,0,0,0,0,17,1,2011,101,1,1122,2, ,1,40,1,22,2,1,9,1,8263, ,4,9,9
2011,1,18,101,1,2,24,99,99,99,1,33,1,1,1,1,5220, ,2, ,8,2,0,0,2,0,16,1,2011,101,1,1122,2, ,2,52,1,22,5,1,1,2, ,1,4,1,1
2011,1,20,101,1,1,35,0,0,0,1,33,2,1,1,1,5220, ,2, ,10,0,0,0,0,0,18,1,2011,101,1,2121,2, ,2,55,1,22,5,1,1,1,5220, ,4,1,1
2011,1,6,101,1,2,47,99,99,99,1,44,2,1,1,2, ,1,2, ,1,1,0,0,1,0,4,1,2011,101,1,1122,1,1,1,53,1,44,2,1,1,1,1314, ,4,1,1
2011,1,21,101,1,2,22,1,0,1,1,24,1,1,1,2, ,1,2, ,3,0,0,0,0,0,15,11,2010,101,1,1122,2, ,1,45,1,46,1,1,1,2, ,9,4,1,1
2011,1,21,101,1,2,59,2,2,0,1,26,1,1,1,1,7436, ,2, ,3,0,0,0,0,0,13,1,2011,101,1,2122,2, ,1,37,1,44,2,1,1,1,3471, ,4,1,1
2011,1,21,101,1,2,30,2,1,1,1,26,1,1,1,2, ,1,9, ,2,99,99,99,99,99,14,1,2011,106,1,2122,2, ,1,28,2,10,1,1,1,1,9211, ,4,1,1
2011,1,21,101,1,2,28,1,1,0,1,55,1,1,1,1,3471, ,2, ,3,0,0,0,0,0,19,1,2011,101,1,2122,2, ,1,35,1,46,1,1,1,1,1314, ,4,1,1
2011,1,25,101,1,2,46,3,2,1,1,22,2,1,1,1,9141, ,2, ,1,0,0,0,0,0,15,1,2011,101,1,2122,1,4,1,48,1,26,2,1,1,1,5169, ,4,1,1
2011,1,25,101,1,2,58,2,1,1,1,33,1,1,1,2, ,1,2, ,10,0,0,0,0,0,24,1,2011,101,1,1122,1,4,2,36,1,46,1,1,1,2, ,1,4,1,1
2011,1,25,101,1,2,52,2,1,1,1,26,3,1,1,2, ,1,2, ,10,0,0,0,0,0,11,1,2011,115,1,2122,1,1,2,20,1,26,2,1,1,2, ,1,4,1,1
2011,1,26,101,1,2,22,1,1,0,1,46,1,1,1,1,110, ,2, ,3,0,0,0,0,0,23,1,2011,101,1,1122,1,4,1,30,1,44,1,1,1,1,7231, ,4,1,1
2011,1,27,101,1,2,31,4,3,1,1,26,1,1,1,2, ,1,2, ,2,0,0,0,0,0,1,1,2011,101,1,1122,2, ,1,37,1,31,1,1,1,1,8322, ,4,1,1
2011,1,26,101,1,2,43,4,3,1,1,46,1,1,1,1,4115, ,9, ,3,0,0,0,0,0,24,1,2011,101,1,2122,1,4,1,43,1,46,1,1,1,1,8322, ,4,1,1
2011,1,27,101,1,2,44,2,1,1,1,46,1,1,1,2, ,1,2, ,9,0,0,0,0,0,26,1,2011,101,1,2122,1,4,2,41,1,46,1,1,1,2, ,1,4,1,1
2011,1,24,101,1,2,48,2,1,1,1,25,2,6,1,2, ,1,2, ,1,99,99,99,99,99,21,1,2010,101,1,2122,2, ,1,53,1,46,2,6,1,1,7141, ,4,1,1
2011,1,24,101,1,2,21,1,1,0,1,33,2,6,1,1,5111, ,2, ,1,99,99,99,99,99,24,1,2011,101,1,2122,2, ,1,28,1,31,2,6,1,1,7412, ,4,1,1
2011,1,24,101,1,2,30,2,0,2,1,46,1,6,1,1,1314, ,2, ,3,99,99,99,99,99,23,1,2011,101,1,2122,2, ,1,27,1,46,1,6,1,1,9112, ,4,1,1
2011,1,24,101,1,2,42,1,1,0,1,26,1,6,1,1,9141, ,2, ,3,99,99,99,99,99,22,1,2011,102,1,2122,2, ,1,38,1,31,1,6,1,1,9141, ,4,1,1
2011,1,26,101,1,2,26,3,1,2,1,33,2,6,1,2, ,1,2, ,1,99,99,99,99,99,25,1,2011,108,1,2122,2, ,1,29,1,46,2,6,1,1,7331, ,4,1,1
2011,1,28,101,1,2,30,3,2,1,1,26,2,6,1,1,8263, ,2, ,1,99,99,99,99,99,27,1,2011,101,1,1122,2, ,1,33,1,33,2,6,1,1,4131, ,4,1,1
2011,1,28,101,1,2,40,99,99,99,1,46,2,6,1,1,3310, ,2, ,1,99,99,99,99,99,22,1,2011,101,1,1122,2, ,1,39,1,46,2,6,1,1,4211, ,4,1,1
2011,1,27,101,1,2,27,2,2,0,1,29,2,1,1,2, ,1,2, ,1,2,0,0,2,0,2,1,2011,101,1,1121,1,4,1,29,1,29,2,1,1,1,5220, ,4,1,1
2011,1,14,101,1,2,54,2,0,2,1,46,2,1,1,1,5123, ,2, ,1,2,0,2,0,0,30,8,2009,101,9,2122,1,9,1,59,1,59,2,1,1,1,3432, ,4,1,1
2011,1,17,101,1,2,34,99,99,99,1,39,2,6,1,2, ,1,2, ,1,2,0,0,1,1,14,1,2011,101,9,1121,1,4,1,27,1,29,2,6,9,1,5169, ,4,1,1
2011,1,17,101,1,2,23,99,99,99,1,49,1,1,1,1,9132, ,2, ,3,1,0,0,0,1,16,1,2011,101,1,2121,1,4,1,24,1,39,1,6,9,1,7137, ,4,1,1
2011,1,18,101,1,2,18,99,99,99,1,59,1,1,1,1,3472, ,2, ,3,0,0,0,0,0,13,1,2011,101,1,1122,2, ,1,36,1,59,1,6,1,1,3143, ,4,1,1
2011,1,19,101,1,2,33,3,2,1,1,59,2,1,1,1,9112, ,2, ,1,3,0,0,2,1,16,1,2011,101,1,1111,1,4,1,30,1,59,2,6,9,1,9112, ,4,1,1
2011,1,20,101,1,2,30,1,1,0,1,59,2,1,1,1,9999, ,2, ,1,1,0,0,1,0,19,1,2011,101,9,2121,2, ,1,34,1,49,2,6,9,1,9999, ,4,1,1
2011,1,24,101,1,1,35,99,99,99,1,49,2,1,1,1,1314, ,2, ,9,99,99,99,99,99,23,1,2011,101,1,2122,2, ,1,41,1,49,2,1,9,1,1314, ,4,1,1
2011,1,25,101,1,2,34,2,1,1,1,59,2,1,1,1,1314, ,2, ,1,2,0,0,1,1,23,1,2011,101,9,2122,2, ,1,36,1,59,2,6,9,1,2410, ,4,1,1
2011,1,26,101,1,2,33,3,2,1,1,39,2,6,1,2, ,1,2, ,1,3,0,0,2,1,24,1,2011,111,9,1111,2, ,1,38,1,29,2,6,9,1,5220, ,4,1,1
2011,1,31,101,1,2,29,99,99,99,1,59,2,1,1,1,8263, ,1,9,1,99,99,99,99,99,31,1,2011,101,9,1111,2, ,1,29,1,59,2,6,9,1,2410, ,4,1,1
2011,1,31,101,1,2,18,1,1,0,1,49,1,1,1,2, ,3,2, ,3,99,99,99,99,99,26,1,2011,101,1,1121,2, ,1,18,1,39,1,6,1,2, ,3,4,1,1
2011,1,24,101,1,2,16,1,1,0,1,39,1,1,9,1,9999, ,2, ,3,2,0,0,1,1,23,1,2011,108,1,1121,9, ,1,20,1,10,1,1,1,1,9999, ,4,1,1
2011,1,24,101,1,2,20,99,99,99,1,39,2,1,9,2, ,9,9, ,1,1,0,1,0,0,23,1,2011,101,1,1121,2, ,1,26,1,49,2,1,9,1,9999, ,4,1,1
2011,1,21,101,1,2,54,6,3,3,1,29,1,1,9,2, ,1,9, ,3,1,0,1,0,0,21,1,2011,101,1,1122,9, ,1,58,1,39,1,1,1,9, , ,4,1,1
2011,1,20,101,1,2,27,1,1,0,1,49,2,1,9,2, ,9,2, ,1,2,0,1,1,0,20,1,2011,101,1,1122,1,9,1,33,1,49,2,1,1,1,9999, ,4,1,1
2011,1,20,101,1,2,28,2,1,1,1,59,2,1,9,2, ,9,2, ,1,3,0,1,1,1,20,1,2011,101,1,1122,2, ,1,59,1,59,2,1,1,1,9999, ,4,1,1
