ANO_EMISION,MES_EMISION,DIA_EMISION,DEPTO_MCPIO,QUIEN_REPORTA,VIC_SEXO,VIC_EDAD,TOTAL_HIJOS,NUM_HIJ_HOM,NUM_HIJ_MUJ,VIC_ALFAB,VIC_ESCOLARIDAD,VIC_EST_CIV,VIC_GRUPET,VIC_NACIONAL,VIC_TRABAJA,VIC_OCUP,VIC_DEDICA,VIC_DISC,TIPO_DISCAQ,VIC_REL_AGR,OTRAS_VICTIMAS,VIC_OTRAS_HOM,VIC_OTRAS_MUJ,VIC_OTRAS_N_OS,VIC_OTRAS_N_AS,HEC_DIA,HEC_MES,HEC_ANO,HEC_DEPTOMCPIO,HEC_AREA,HEC_TIPAGRE,HEC_RECUR_DENUN,INST_DONDE_DENUNCIO,AGR_SEXO,AGR_EDAD,AGR_ALFAB,AGR_ESCOLARIDAD,AGR_EST_CIV,AGR_GURPET,AGR_NACIONAL,AGR_TRABAJA,AGR_OCUP,AGR_DEDICA,INST_DENUN_HECHO,MEDIDAS_SEGURIDAD
2009,11,20,1001,2,2,8, , , ,1,29, ,6,1,2, ,3,2, ,4,0,0,0,0,0,17,11,2009,1019,2,1112,1,1,1,34,1,29,3,6,1,1,9211, ,6, 
2009,11,25,1001,2,1,9, , , ,1,29, ,1,9,2, ,3,2, ,4,1,0,0,1,0,25,11,2009,1001,9,2122,9, ,2,24,1,29,9,1,1,2, ,1,4,2
2009,11,3,1901,1,1,9, , , ,1,21, ,1,1,2, ,3,2, ,10,1,0,1,0,0,2,1,2008,1901,1,1122,2, ,1,32,1,24,3,1,1,1,9211, ,3, 
2009,11,20,2217,2,2,7, , , ,1,26, ,1,1,2, ,3,2, ,5,0,0,0,0,0,15,11,2009,2217,9,2122,2, ,1,99,2,10,2,1,1,1,9211, ,4,1
2009,12,2,201,3,2,8, , , ,2,10, ,1,1,2, ,6,2, ,4,3,0,1,0,2,30,11,2009,203,2,1221,2, ,1,47,2,10,3,1,1,1,9211, ,6, 
2009,12,2,201,3,1,10, , , ,1,21, ,1,1,2, ,3,2, ,4,0,0,0,0,0,29,11,2009,203,2,1122,2, ,2,46,2,10,1,1,1,2, ,9,6, 
2009,12,3,201,3,1,9, , , ,1,22, ,1,1,2, ,3,2, ,4,0,0,0,0,0,3,12,2009,203,2,1222,1,6,2,99,1,99,2,1,1,9, , ,6, 
2009,12,9,201,2,1,5, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,9,12,2009,204,2,1222,2, ,2,99,9,99,2,1,1,9, , ,6, 
2009,12,9,201,3,2,2, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,9,12,2009,204,2,1222,2, ,2,99,9,99,2,1,1,9, , ,6, 
2009,12,28,501,2,1,5, , , , , , ,1,1, , , ,2, ,4,1,0,0,1,0,6,12,2009,507,1,1222,2, ,1,40,1,29,3,1,1,1,7122, ,2, 
2009,12,10,1018,2,2,3, , , , , , ,1,1, , , ,2, ,4,0,0,0,0,0,8,12,2009,1018,2,2122,2, ,2,22,1,29,2,1,1,2, ,1,4,1
