DEPARTAMENTO,ANIO,EDAD_HOMBRE,EDAD_MUJER,ESCOLARIDAD_HOMBRE,ESCOLARIDAD_MUJER,TOTAL_DIVORCIOS,EDAD_VICTIMA,EDAD_AGRESOR,ESCOLARIDAD_VICTIMA,ESCOLARIDAD_AGRESOR,OCUPACION_VICTIMA,OCUPACION_AGRESOR,TIPO_MEDIDA_MAS_FREC,INST_DENUNCIA,TOTAL_VIF
12,2018,,,,,0,35.29786003470214,41.526894158473105,10.0,26.0,5249.0,6111.0,IJ,4,1729
13,2009,,,,,0,33.35313901345292,37.408071748878925,10.0,26.0,9211.0,9211.0,,4,892
13,2010,34.0625,30.733333333333334,,,56,34.00513259195894,36.032506415739945,10.0,10.0,9131.0,9211.0,,4,1169
13,2011,37.044444444444444,33.89090909090909,,,113,33.574294205052006,35.80609212481426,10.0,26.0,3310.0,6111.0,,4,1346
13,2012,35.022222222222226,32.0414201183432,1.0,1.0,391,34.579360628154795,36.44139091418957,10.0,10.0,9111.0,6111.0,,4,1783
13,2013,32.44444444444444,28.894736842105264,1.0,1.0,123,33.14324324324324,36.825945945945946,10.0,26.0,2341.0,6111.0,IJ,4,1850
13,2014,,,,,0,33.21870397643593,37.17820324005891,10.0,10.0,6111.0,6111.0,IJ,4,1358
13,2015,33.246153846153845,29.096774193548388,4.0,4.0,540,34.341948310139166,36.6441351888668,10.0,10.0,6111.0,6111.0,IJ,4,1006
13,2016,37.06896551724138,35.516129032258064,2.0,1.0,188,34.197068403908794,37.98941368078176,10.0,10.0,6111.0,6111.0,IJ,4,1228
13,2017,,,,,0,35.48540145985402,39.31386861313869,10.0,10.0,6111.0,6111.0,IJ,4,1096
13,2018,,,,,0,34.91873804971319,39.04875717017208,10.0,26.0,5249.0,6111.0,IJ,4,1046
14,2009,,,,,0,34.55401234567901,47.35339506172839,10.0,10.0,9211.0,9211.0,,4,1296
14,2010,32.52,28.5,,,65,33.27489041953663,42.38697557921102,10.0,10.0,3310.0,9211.0,,4,1597
14,2011,33.38095238095238,28.761904761904763,,,109,32.866028708133975,36.08074162679426,10.0,10.0,3310.0,9211.0,,4,1672
14,2012,36.46086956521739,30.555555555555557,1.0,1.0,275,30.52013710368466,33.883461868037706,10.0,10.0,2341.0,9211.0,CIJ,4,1167
14,2013,27.857142857142858,23.0,1.0,1.0,69,31.544474393530997,34.017520215633425,10.0,10.0,2341.0,9211.0,IJ,4,742
14,2014,,,,,0,32.980274442538594,34.951114922813034,10.0,10.0,2341.0,6111.0,IJ,4,1166
14,2015,32.93103448275862,28.54237288135593,1.0,1.0,420,33.571955719557195,34.146678966789665,10.0,10.0,2341.0,6111.0,IJ,4,1084
14,2016,35.77272727272727,31.375,1.0,1.0,168,32.46586345381526,34.66064257028113,10.0,26.0,2341.0,6111.0,IJ,4,996
14,2017,,,,,0,33.74782608695652,35.06956521739131,10.0,10.0,6111.0,6111.0,IJ,4,690
14,2018,,,,,0,32.98765432098765,34.07583774250441,10.0,10.0,2341.0,6111.0,IJ,3,567
15,2009,,,,,0,32.60922787193974,44.7909604519774,10.0,29.0,9131.0,9211.0,,4,1062
15,2010,34.05263157894737,25.166666666666668,,,63,32.35953978906999,45.716203259827424,10.0,29.0,9131.0,9211.0,,4,1043
15,2011,36.083333333333336,31.75,,,45,33.95821185617104,45.58114674441205,10.0,29.0,9131.0,6111.0,ACIJF,4,1029
15,2012,35.45985401459854,32.48251748251748,2.0,1.0,279,33.25043177892919,41.57253886010363,10.0,29.0,2341.0,6111.0,IJ,4,1158
15,2013,35.8,28.545454545454547,1.0,1.0,66,33.04770017035775,41.44804088586031,10.0,26.0,9111.0,6111.0,IJ,4,1174
15,2014,,,,,0,33.34722222222222,45.658496732026144,10.0,10.0,9111.0,6111.0,IJ,4,1224
15,2015,35.734693877551024,30.04255319148936,2.0,1.0,348,33.13012895662368,42.73036342321219,10.0,26.0,2341.0,6111.0,IJ,4,853
